accession	description
"SRR10423857"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423860"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423862"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423863"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423872"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423875"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423876"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423878"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423883"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423884"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423887"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423890"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR8206943"	"Illumina MiSeq sequencing: RNAseq of Naja naja venom gland transcriptome"
"SRR10420847"	"Illumina HiSeq 2500 sequencing: Naja naja Dovetail Hi-C sequencing Library"
"SRR10420848"	"Illumina HiSeq 2500 sequencing: Naja naja Dovetail Hi-C sequencing Library"
"SRR24443265"	"BGISEQ-500 sequencing: Naja:RNA"
"SRR24443268"	"BGISEQ-500 sequencing: Naja:WGS_2"
"SRR24443266"	"BGISEQ-500 sequencing: Naja:stlfr"
"SRR24443267"	"BGISEQ-500 sequencing: Naja:WGS_1"
"SRR15558232"	"Illumina NovaSeq 6000 sequencing: Viral metagenomics of Naja: lung"
"SRR17850508"	"Illumina HiSeq 3000 sequencing: GSM5852804: KO_1_L Naja Bisulfite-Seq"
"SRR17850506"	"Illumina HiSeq 3000 sequencing: GSM5852802: KO_1_H Naja Bisulfite-Seq"
"SRR17850507"	"Illumina HiSeq 3000 sequencing: GSM5852803: KO_1_H_uc Naja Bisulfite-Seq"
"SRR11050879"	"Illumina MiSeq sequencing: RNAseq of Naja pallida venom gland transcriptome"
"SRR11050884"	"Illumina MiSeq sequencing: RNAseq of Naja atra venom gland transcriptome"
"SRR11050888"	"Illumina MiSeq sequencing: RNAseq of Naja subfulva venom gland transcriptome"
"SRR8107860"	"Illumina HiSeq 2000 sequencing: PCR product of snakes: Naja atra"
"SRR23022435"	"Illumina HiSeq 4000 sequencing: target capture of Naja melanoleuca: UMMZ_238951"
"SRR12795856"	"HiSeq X Ten sequencing: FLc-Capture data of Naja atra"
"SRR8206942"	"Illumina MiSeq sequencing: RNAseq of Naja haje venom gland transcriptome"
"SRR8107834"	"Illumina HiSeq 2000 sequencing: PCR product of snakes: Naja atra"
"SRR8108233"	"Illumina HiSeq 2000 sequencing: PCR product of snakes: Naja kaouthia"
"SRR11050878"	"Illumina MiSeq sequencing: RNAseq of Naja siamensis venom gland transcriptome"
"SRR11050880"	"Illumina MiSeq sequencing: RNAseq of Naja nubiae venom gland transcriptome"
"SRR11050882"	"Illumina MiSeq sequencing: RNAseq of Naja nigricollis venom gland transcriptome"
"SRR11050883"	"Illumina MiSeq sequencing: RNAseq of Naja mossambica venom gland transcriptome"
"SRR11050885"	"Illumina MiSeq sequencing: RNAseq of Naja annulifera venom gland transcriptome"
"SRR11050887"	"Illumina MiSeq sequencing: RNAseq of Naja sumatrana venom gland transcriptome"
"SRR11050890"	"Illumina MiSeq sequencing: RNAseq of Naja philippinensis venom gland transcriptome"
"SRR8107859"	"Illumina HiSeq 2000 sequencing: PCR product of snakes: Naja atra"
"SRR11050881"	"Illumina MiSeq sequencing: RNAseq of Naja nivea venom gland transcriptome"
"SRR8107902"	"Illumina HiSeq 2000 sequencing: PCR product of snakes: Naja atra"
"SRR8107857"	"Illumina HiSeq 2000 sequencing: PCR product of snakes: Naja atra"
"SRR8206944"	"Illumina MiSeq sequencing: RNAseq of Naja kaouthia venom gland transcriptome"
"SRR8380173"	"Illumina HiSeq 2000 sequencing: Malaysian Naja sumtrana (Equatorial spitting cobra)"
"SRR2917657"	"Illumina HiSeq 2000 sequencing: Thailand Naja kaouthia venom gland transcriptome"
"SRR2917658"	"Illumina HiSeq 2000 sequencing: Malaysia Naja kaouthia venom gland transcriptome"
"SRR8224383"	"HiSeq X Ten sequencing: whole genome sequencing of female Naja kaouthia"
"SRR10518001"	"NextSeq 500 sequencing: GSM4189755: Venom gland organoids Naja nivea RNA-Seq"
"SRR18146740"	"Illumina MiSeq sequencing: Prokaryote 16S amplicon-sequencing (Miseq): Naja nivea 283"
"SRR18146585"	"Illumina MiSeq sequencing: Archaea 16S amplicon-sequencing (Miseq): Naja nivea 283"
"SRR10518000"	"NextSeq 500 sequencing: GSM4189755: Venom gland organoids Naja nivea RNA-Seq"
"SRR10517999"	"NextSeq 500 sequencing: GSM4189755: Venom gland organoids Naja nivea RNA-Seq"
"SRR10518002"	"NextSeq 500 sequencing: GSM4189755: Venom gland organoids Naja nivea RNA-Seq"
